question,answer,label
상품 이름이 뭐야?,이름,0
모델이 입고 있는 옷 이름이 뭐야?,이름,0
이거 이름 알려줘,이름,0
상품 이름이 어떻게 돼?,이름,0
이름 좀 알려줘,이름,0
상품명이 뭐야?,이름,0
상품명 알려줘,이름,0
상품명이 궁금해,이름,0
이거 뭐야,이름,0
옷 이름 알려줘,이름,0
옷 이름이 뭔데?,이름,0
옷 이름이 어떻게 돼?,이름,0
상품 이름이 뭔데,이름,0
가격 알려줘,가격,1
가격이 어떻게 돼?,가격,1
가격은?,가격,1
얼마야?,가격,1
얼마에 살 수 있어?,가격,1
얼마인지 궁금해,가격,1
이 옷 얼마야?,가격,1
상품 가격은?,가격,1
돈 얼마 필요해?,가격,1
사고싶은데 가격은?,가격,1
얼마인데?,가격,1
가격은 어느정도야?,가격,1
구매하고 싶은데 얼마일까?,가격,1
사이즈 종류는?,사이즈 옵션,2
무슨 사이즈 있어,사이즈 옵션,2
사이즈 옵션 알려줘,사이즈 옵션,2
사이즈 뭐 있는데?,사이즈 옵션,2
사이즈 몇 개 있어?,사이즈 옵션,2
사이즈 종류 알려줘,사이즈 옵션,2
어떤 사이즈가 있어?,사이즈 옵션,2
사이즈 옵션은?,사이즈 옵션,2
사이즈 어떤게 있니?,사이즈 옵션,2
사이즈 종류 몇 개 있니사이즈 종류는 어떻게 되는데?,사이즈 옵션,2
사이즈 종류 나열해줘,사이즈 옵션,2
사이즈 옵션에 대해 말해줘,사이즈 옵션,2
소재가 뭐야,소재,3
소재가 뭡니까?,소재,3
어떤 소재로 만들어졌나요?,소재,3
소재가 뭔가요?,소재,3
소재가 궁금해,소재,3
소재가 뭔지 알고 싶어,소재,3
소재 좀 알려줘,소재,3
무슨 소재야?,소재,3
어떤 소재로 이루어졌나요?,소재,3
소재를 알려줘,소재,3
이 옷의 소재 알려줘,소재,3
이 상품 소재가 뭐니,소재,3
어떤 소재로 만들어졌는지 알려줘,소재,3
더운 소재니?,소재,3
시원한 소재야?,소재,3
옷이 비치니?,비침,4
비침 정도는,비침,4
얼마나 비치니?,비침,4
얼마나 비칠까?,비침,4
많이 비칠까?,비침,4
옷 비침 정도는 어때?,비침,4
비치는 정도를 알려줘,비침,4
비쳐?,비침,4
비치니?,비침,4
옷 입으면 얼마나 비칠까?,비침,4
어느정도로 비치는지 알려줘,비침,4
비침 정보,비침,4
입으면 속이 보일까?,비침,4
약간 비칠까?,비침,4
다른 옷들이 보일정도일까?,비침,4
안에 입고 있는 옷이 보일까?,비침,4
